Year,Team,Player,Salary,Percent_team_salary
1992.0,CHO,Kenny Gattison,598000.0,0.04226148409893993
1992.0,CHO,Kevin Lynch,250000.0,0.0176678445229682
1992.0,CHO,Tony Bennett,140000.0,0.009893992932862191
1992.0,CHO,David Wingate,129000.0,0.00911660777385159
1992.0,CHO,Lorenzo Williams,7000.0,0.0004946996466431095
1993.0,CHO,Larry Johnson,3125000.0,0.174075311942959
1993.0,CHO,Alonzo Mourning,3120000.0,0.17379679144385027
1993.0,CHO,Hersey Hawkins,2400000.0,0.13368983957219252
1993.0,CHO,Mike Gminski,1850000.0,0.10305258467023173
1993.0,CHO,Kenny Gattison,1250000.0,0.0696301247771836
1993.0,CHO,Rumeal Robinson,1240000.0,0.06907308377896614
1993.0,CHO,Eddie Johnson,1150000.0,0.06405971479500891
1993.0,CHO,Dell Curry,1040000.0,0.057932263814616754
1993.0,CHO,Muggsy Bogues,900000.0,0.05013368983957219
1993.0,CHO,Scott Burrell,650000.0,0.036207664884135474
1993.0,CHO,David Wingate,570000.0,0.031751336898395724
1993.0,CHO,Kevin Lynch,325000.0,0.018103832442067737
1993.0,CHO,Tony Bennett,182000.0,0.010138146167557932
1993.0,CHO,LeRon Ellis,150000.0,0.008355614973262033
1994.0,CHO,Alonzo Mourning,3840000.0,0.19848389318713341
1994.0,CHO,Larry Johnson,3710000.0,0.19176438638652732
1994.0,CHO,Hersey Hawkins,2500000.0,0.12922128462703997
1994.0,CHO,Robert Parish,1925000.0,0.09950038916282078
1994.0,CHO,Dell Curry,1340000.0,0.06926260856009343
1994.0,CHO,Kenny Gattison,1250000.0,0.06461064231351998
1994.0,CHO,Michael Adams,1240000.0,0.06409375717501183
1994.0,CHO,Muggsy Bogues,1125000.0,0.05814957808216799
1994.0,CHO,Scott Burrell,845000.0,0.04367679420393951
1994.0,CHO,David Wingate,570000.0,0.029462452894965116
1994.0,CHO,Tom Tolbert,325000.0,0.016798767001515197
1994.0,CHO,Tony Bennett,224000.0,0.011578227102582783
1994.0,CHO,Joe Wolf,150000.0,0.007753277077622398
1994.0,CHO,Darrin Hancock,150000.0,0.007753277077622398
1994.0,CHO,Greg Sutton,139500.0,0.007210547682188831
1994.0,CHO,Joe Courtney,13158.0,0.0006801174652490368
1995.0,CHO,Larry Johnson,4295000.0,0.1860596083867614
1995.0,CHO,Glen Rice,3302000.0,0.14304280020793622
1995.0,CHO,Kendall Gill,3200000.0,0.1386241552590539
1995.0,CHO,Robert Parish,2500000.0,0.10830012129613585
1995.0,CHO,Khalid Reeves,1602000.0,0.06939871772656385
1995.0,CHO,Dell Curry,1570000.0,0.06801247617397331
1995.0,CHO,Matt Geiger,1532000.0,0.06636631433027206
1995.0,CHO,Muggsy Bogues,1350000.0,0.05848206549991336
1995.0,CHO,Michael Adams,1240000.0,0.053716860162883386
1995.0,CHO,Scott Burrell,1040000.0,0.045052850459192516
1995.0,CHO,George Zidek,603000.0,0.026121989256627967
1995.0,CHO,Rafael Addison,360000.0,0.015595217466643562
1995.0,CHO,Greg Sutton,250000.0,0.010830012129613585
1995.0,CHO,Darrin Hancock,225000.0,0.009747010916652227
1995.0,CHO,Joe Wolf,15000.0,0.0006498007277768151
1995.0,CHO,Corey Beck,0.0,0.0
1991.0,CLE,Hot Rod Williams,3786000.0,0.2242625281364767
1991.0,CLE,Danny Ferry,2843000.0,0.16840421750977372
1991.0,CLE,Brad Daugherty,2245000.0,0.13298187418552304
1991.0,CLE,Mark Price,1520000.0,0.09003672550645658
1991.0,CLE,Larry Nance,1363000.0,0.08073687951664495
1991.0,CLE,Craig Ehlo,925000.0,0.05479208624570549
1991.0,CLE,John Battle,700000.0,0.04146428148323658
1991.0,CLE,Chucky Brown,640000.0,0.03791020021324488
1991.0,CLE,Steve Kerr,553000.0,0.0327567823717569
1991.0,CLE,Terrell Brandon,525000.0,0.031098211112427436
1991.0,CLE,Winston Bennett,525000.0,0.031098211112427436
1991.0,CLE,Henry James,477000.0,0.028254946096434072
1991.0,CLE,John Morton,450000.0,0.026655609524937805
1991.0,CLE,Jimmy Oliver,200000.0,0.011846937566639024
1991.0,CLE,Darnell Valentine,130000.0,0.007700509418315365
1992.0,CLE,Hot Rod Williams,3786000.0,0.19241715795893474
1992.0,CLE,Danny Ferry,3143000.0,0.15973775157552347
1992.0,CLE,Brad Daugherty,2923000.0,0.1485566171986176
1992.0,CLE,Larry Nance,2775000.0,0.14103476316324456
1992.0,CLE,Mark Price,1690000.0,0.08589144134986786
1992.0,CLE,Mike Sanders,1100000.0,0.05590567188452938
1992.0,CLE,Craig Ehlo,1075000.0,0.05463508843260825
1992.0,CLE,John Battle,910000.0,0.046249237649928845
1992.0,CLE,Terrell Brandon,682000.0,0.03466151656840821
1992.0,CLE,Gerald Wilkins,500000.0,0.025411669038422444
1992.0,CLE,Henry James,477000.0,0.024242732262655012
1992.0,CLE,Bobby Phills,250000.0,0.012705834519211222
1992.0,CLE,Jerome Lane,225000.0,0.0114352510672901
1992.0,CLE,Jay Guidinger,140000.0,0.007115267330758284
1993.0,CLE,John Williams,3786000.0,0.15967272573910843
1993.0,CLE,Danny Ferry,3543000.0,0.14942431782716883
